sensing_date,spacecraft_name,cloudy_pixel_percentage,pdgs_baseline
2019-02-14,Sentinel-2B,0.07,N0207
2019-02-16,Sentinel-2A,2.79,N0207
2019-02-21,Sentinel-2B,0.00,N0207
2019-02-24,Sentinel-2B,0.78,N0207
2019-02-26,Sentinel-2A,2.44,N0207
2019-03-16,Sentinel-2B,18.06,N0207
2019-03-21,Sentinel-2A,4.27,N0207
2019-03-23,Sentinel-2B,1.09,N0207
2019-03-28,Sentinel-2A,1.13,N0207
2019-03-31,Sentinel-2A,8.07,N0207
2019-04-20,Sentinel-2A,0.14,N0207
2019-05-30,Sentinel-2A,18.85,N0207
2019-06-01,Sentinel-2B,0.67,N0207
2019-06-04,Sentinel-2B,1.70,N0207
2019-06-19,Sentinel-2A,13.76,N0207
2019-06-24,Sentinel-2B,19.76,N0207
2019-06-26,Sentinel-2A,1.52,N0207
2019-06-29,Sentinel-2A,0.00,N0207
2019-07-04,Sentinel-2B,5.32,N0207
2019-07-16,Sentinel-2A,5.15,N0208
2019-07-24,Sentinel-2B,0.12,N0208
2019-07-26,Sentinel-2A,4.68,N0208
2019-08-08,Sentinel-2A,14.22,N0208
2019-08-18,Sentinel-2A,0.00,N0208
2019-08-25,Sentinel-2A,0.08,N0208
2019-08-28,Sentinel-2A,2.07,N0208
2019-08-30,Sentinel-2B,0.38,N0208
2019-09-04,Sentinel-2A,0.01,N0208
2019-09-12,Sentinel-2B,0.00,N0208
2019-09-17,Sentinel-2A,7.43,N0208
2019-09-19,Sentinel-2B,8.54,N0208
2019-09-29,Sentinel-2B,1.81,N0208
2019-10-12,Sentinel-2B,19.17,N0208
2019-10-14,Sentinel-2A,0.88,N0208
