Datum;LINDAU - Temperatur Durchschnitt +2 m (°C);LINDAU - Niederschlag (mm oder Liter/m2)
01.01.2004;-2.5;0
02.01.2004;-3.3;0
03.01.2004;-6.7;0
04.01.2004;-6.4;0
05.01.2004;-2.6;0
06.01.2004;-0.8;0
07.01.2004;0.3;0
08.01.2004;-1.3;0
09.01.2004;3.1;0
10.01.2004;3.2;0
11.01.2004;5.1;0
12.01.2004;6.2;0
13.01.2004;8.1;0
14.01.2004;4.9;0
15.01.2004;0.3;0
16.01.2004;1.2;0
17.01.2004;2.3;0
18.01.2004;0.6;0
19.01.2004;-1.3;0
20.01.2004;-0.2;0
21.01.2004;-1.3;0
22.01.2004;-3.5;0
23.01.2004;-4;0
24.01.2004;-4.3;0
25.01.2004;-1.3;0
26.01.2004;-4.5;0
27.01.2004;-2;0
28.01.2004;-3.5;0
29.01.2004;-3.8;0
30.01.2004;-4.1;0
31.01.2004;1.3;0
01.02.2004;6.6;0
02.02.2004;5.6;0
03.02.2004;5.4;0
04.02.2004;4.4;0
05.02.2004;5.6;0
06.02.2004;7.2;0
07.02.2004;7.3;0
08.02.2004;1.9;0
09.02.2004;-0.8;0
10.02.2004;-1.7;0
11.02.2004;-0.2;0
12.02.2004;0.1;0
13.02.2004;0.7;0
14.02.2004;1.5;0
15.02.2004;1.9;0
16.02.2004;2.3;0
17.02.2004;1.1;0
18.02.2004;1.1;0
19.02.2004;-1.1;0
20.02.2004;-0.4;0
21.02.2004;0.4;0
22.02.2004;4.9;0
23.02.2004;-2.7;0
24.02.2004;-5.5;0
25.02.2004;-4.8;0
26.02.2004;-2.4;0
27.02.2004;-4.4;0
28.02.2004;-5.1;0
29.02.2004;-3.2;0
01.03.2004;-3;0
02.03.2004;-3.7;0
03.03.2004;1.8;0
04.03.2004;0.2;0
05.03.2004;0.5;0
06.03.2004;2.5;6
07.03.2004;2.6;1
08.03.2004;0.4;1.2
09.03.2004;-0.3;0
10.03.2004;-1.5;0
11.03.2004;-0.8;3.2
12.03.2004;1;0
13.03.2004;5.1;0
14.03.2004;6.3;5
15.03.2004;7;0
16.03.2004;9.1;0
17.03.2004;11;0
18.03.2004;12.4;0
19.03.2004;12.7;0
20.03.2004;12.1;2.4
21.03.2004;10.6;0.2
22.03.2004;5.5;5.8
23.03.2004;2.2;9.2
24.03.2004;1.3;22
25.03.2004;1.3;5.2
26.03.2004;0.7;0
27.03.2004;0.2;0
28.03.2004;2.4;0
29.03.2004;5.5;0
30.03.2004;8;0
31.03.2004;10.1;0
01.04.2004;11.8;0
02.04.2004;12.6;0
03.04.2004;9.5;1
04.04.2004;8.6;0.2
05.04.2004;8.5;0
06.04.2004;4.8;10.8
07.04.2004;3.1;5.8
08.04.2004;4.7;1.6
09.04.2004;5.3;0
10.04.2004;3.6;7.4
11.04.2004;5.3;5.6
12.04.2004;6;0
13.04.2004;5.6;0.2
14.04.2004;6.9;0
15.04.2004;9;0
16.04.2004;11;0
17.04.2004;10.7;0
18.04.2004;9.8;7.6
19.04.2004;3.7;6.4
20.04.2004;7.7;0
21.04.2004;13.1;0
22.04.2004;15.4;0
23.04.2004;13.1;5
24.04.2004;10;0
25.04.2004;8.1;0
26.04.2004;10.2;0
27.04.2004;12.8;0
28.04.2004;15.5;0
29.04.2004;14.3;0
30.04.2004;14.5;0
01.05.2004;10.8;0
02.05.2004;12.4;0.2
03.05.2004;13.2;0
04.05.2004;12.6;6
05.05.2004;5.4;19.8
06.05.2004;4.1;22.2
07.05.2004;5.5;9.6
08.05.2004;6.4;1.8
09.05.2004;4.4;19.6
10.05.2004;9.6;0
11.05.2004;11.7;0
12.05.2004;12.2;11.8
13.05.2004;9.2;0
14.05.2004;10.8;0
15.05.2004;13.2;0
16.05.2004;12.5;0
17.05.2004;15;0
18.05.2004;17.8;0
19.05.2004;18.6;0
20.05.2004;19.6;0
21.05.2004;13.4;31.6
22.05.2004;7.6;10.2
23.05.2004;7.9;0
24.05.2004;9.9;0
25.05.2004;13.3;0
26.05.2004;15.1;0
27.05.2004;12.5;8.8
28.05.2004;12.6;6.2
29.05.2004;13.2;0
30.05.2004;16.1;0
31.05.2004;13.1;10.2
01.06.2004;11.1;13
02.06.2004;12.9;39.8
03.06.2004;10.1;60.6
04.06.2004;13.5;0.6
05.06.2004;12.4;6.4
06.06.2004;14.1;0
07.06.2004;17.7;0
08.06.2004;20.5;0
09.06.2004;22.8;0
10.06.2004;24.2;0
11.06.2004;17.5;0
12.06.2004;15.7;0
13.06.2004;12.5;0
14.06.2004;14.8;0
15.06.2004;15.4;0
16.06.2004;14.4;0
17.06.2004;16.4;0
18.06.2004;17.2;0.2
19.06.2004;13.3;0.2
20.06.2004;12.6;0.2
21.06.2004;14.4;0
22.06.2004;14.8;0.2
23.06.2004;16.7;1
24.06.2004;16.4;1.8
25.06.2004;16.3;0
26.06.2004;17.8;0
27.06.2004;20.3;7.2
28.06.2004;19.9;0
29.06.2004;18.9;0
30.06.2004;19.6;0
01.07.2004;16.8;0
02.07.2004;14.5;7.2
03.07.2004;14.9;0
04.07.2004;18.9;0
05.07.2004;17.8;4.8
06.07.2004;15.3;5
07.07.2004;17.6;0.6
08.07.2004;16.8;43.4
09.07.2004;14.7;8
10.07.2004;12.4;7.2
11.07.2004;11.8;8.4
12.07.2004;11;18.6
13.07.2004;11.5;5.4
14.07.2004;14.9;0
15.07.2004;18.6;0
16.07.2004;22.1;0
17.07.2004;22.3;6
18.07.2004;20.5;4
19.07.2004;20.2;1.8
20.07.2004;20.2;1.2
21.07.2004;22.1;1
22.07.2004;23.4;25.6
23.07.2004;21.7;8.2
24.07.2004;17.6;12
25.07.2004;19.7;0
26.07.2004;16.4;0
27.07.2004;16.1;0
28.07.2004;17.2;0
29.07.2004;19;0
30.07.2004;21.2;0
31.07.2004;22.4;0
01.08.2004;24;0
02.08.2004;23.6;0
03.08.2004;22.6;0
04.08.2004;22.4;0
05.08.2004;21.6;0
06.08.2004;20.9;4.2
07.08.2004;20.7;0
08.08.2004;21.5;0
09.08.2004;21.1;0
10.08.2004;22.3;0
11.08.2004;21.2;1
12.08.2004;19.9;11
13.08.2004;15.7;3.8
14.08.2004;14.5;2
15.08.2004;18.5;0
16.08.2004;17.2;3.8
17.08.2004;18;2
18.08.2004;21.5;1.4
19.08.2004;17.9;10.4
20.08.2004;16.9;4.8
21.08.2004;13.8;7.2
22.08.2004;15.3;0.6
23.08.2004;18.4;0
24.08.2004;16.6;8.6
25.08.2004;16;0.6
26.08.2004;12.4;12
27.08.2004;15.8;0.4
28.08.2004;17.1;0
29.08.2004;16.9;0.8
30.08.2004;15;0
31.08.2004;15.1;0
01.09.2004;15;0
02.09.2004;18;0
03.09.2004;20.6;1.6
04.09.2004;20.7;0.2
05.09.2004;20.6;0
06.09.2004;19.2;0
07.09.2004;18.9;0
08.09.2004;18.1;0
09.09.2004;17.5;0
10.09.2004;18.3;0
11.09.2004;20.6;0.2
12.09.2004;15;12.6
13.09.2004;16.3;0
14.09.2004;15.6;17.4
15.09.2004;12.3;4.8
16.09.2004;11.6;0
17.09.2004;10.9;0
18.09.2004;13.3;0
19.09.2004;14;0.8
20.09.2004;14;0.2
21.09.2004;12.7;0
22.09.2004;10.9;1.6
23.09.2004;13.4;5.6
24.09.2004;8.4;28.4
25.09.2004;7;15.6
26.09.2004;7.2;6.4
27.09.2004;9.6;0.8
28.09.2004;12.4;0.2
29.09.2004;12.6;0.4
30.09.2004;14.2;0
01.10.2004;14.3;0.2
02.10.2004;13;0
03.10.2004;14;0
04.10.2004;14.1;0
05.10.2004;17.2;0
06.10.2004;15.4;4
07.10.2004;13.7;0.2
08.10.2004;15;12
09.10.2004;11.6;16.8
10.10.2004;8.9;10.4
11.10.2004;6.8;0
12.10.2004;7.7;0
13.10.2004;8.2;0
14.10.2004;9.9;2.6
15.10.2004;6.9;19
16.10.2004;5.3;5
17.10.2004;5.9;2.2
18.10.2004;8.4;0.6
19.10.2004;7.7;18.4
20.10.2004;10.3;1.6
21.10.2004;12.4;28.6
22.10.2004;11.8;0.2
23.10.2004;13.9;0
24.10.2004;13;0.2
25.10.2004;12.5;0.8
26.10.2004;8.1;23.8
27.10.2004;7.5;3
28.10.2004;9;0.8
29.10.2004;8.9;0
30.10.2004;9.3;0.4
31.10.2004;7.9;0
01.11.2004;8.7;0
02.11.2004;8.4;0
03.11.2004;10.1;0
04.11.2004;10.1;0
05.11.2004;9.7;2.4
06.11.2004;5.6;0
07.11.2004;3.1;5.6
08.11.2004;1.4;0.2
09.11.2004;-0.4;0
10.11.2004;-0.6;0
11.11.2004;1;0.2
12.11.2004;1.5;0
13.11.2004;0.8;5.8
14.11.2004;-0.5;0.6
15.11.2004;-2.6;0
16.11.2004;-2.3;0
17.11.2004;1.4;0
18.11.2004;6.2;0
19.11.2004;2.9;6
20.11.2004;-1.9;0
21.11.2004;-1.6;0
22.11.2004;5.6;0.2
23.11.2004;6.8;1.4
24.11.2004;4;0
25.11.2004;0.2;0
26.11.2004;1.6;0.6
27.11.2004;4;0.4
28.11.2004;0.5;0.2
29.11.2004;3.5;0.2
